pair_id,entry_id,name,series,receptor,role,smiles,best_score_kcal_mol,protocol,region,pose_centroid_to_cocrystal_A,n_polar_contacts,polar_contacts,n_hydrophobic_contacts,hydrophobic_residues,ec50_nM,emax_pct,gpr109a_fold,ghsr_fold,lle,best_pose_file,_pose_files
c11_8Z8A,c11,Davidsson 2020 compound 11,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-n1cccn1,-4.359,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,9.84,8,GLU153OE1-O 2.7A; ARG99NH2-N 2.9A; ASN174ND2-O 3.0A; HIS177ND1-O 3.0A; LEU92O-O 3.2A; HIS177NE2-N 3.4A; ALA96N-O 3.4A; HIS155ND1-N 3.4A,48,150; 155; 167; 168; 177; 180; 92; 95; 96; 99,19.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_8Z8A_seed20260803.pdbqt']"
c12_8Z8A,c12,Davidsson 2020 compound 12,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-n1cccc1,-4.68,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,9.72,6,GLU153OE1-O 2.7A; HIS177ND1-O 3.0A; ASN174ND2-O 3.2A; ARG99NH2-O 3.3A; CYS6N-N 3.3A; HIS177NE2-N 3.4A,51,149; 150; 153; 155; 167; 168; 177; 180; 181; 6; 92; 95; 96; 99,22.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed20260803.pdbqt']"
c13_8Z8A,c13,Davidsson 2020 compound 13,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-c1cn[nH]c1,-5.063,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,9.79,7,GLU153OE1-N 2.7A; HIS155O-N 2.9A; MET170O-O 3.2A; HIS177NE2-N 3.3A; GLU153OE2-N 3.4A; HIS155ND1-N 3.4A; LEU156O-N 3.5A,52,149; 150; 155; 167; 168; 170; 171; 174; 177; 180; 181; 92; 96; 99,360.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c13_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c13_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c13_8Z8A_seed20260803.pdbqt']"
c14_8Z8A,c14,Davidsson 2020 compound 14,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1,-7.376,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,12.02,5,ILE169O-O 3.1A; MET170O-O 3.3A; CYS7O-O 3.3A; ILE9N-O 3.3A; GLU166O-S 3.5A,16,153; 157; 164; 169; 170; 174; 257; 7; 9,560.0,47,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c14_8Z8A_seed20260803.pdbqt']"
c15_8Z8A,c15,Davidsson 2020 compound 15,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccccc3s2)cc1N1CCOCC1,-8.202,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,10.81,9,GLU153OE1-O 3.1A; GLU153OE2-O 3.1A; ASN174ND2-O 3.2A; GLU166O-N 3.2A; HIS155O-O 3.3A; GLU166OE1-N 3.3A; SER164OG-S 3.3A; ASN154O-O 3.4A,18,149; 153; 155; 166; 167; 169; 170; 174; 9,299.0,,25,1.3,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c15_8Z8A_seed20260803.pdbqt']"
c16_8Z8A,c16,Davidsson 2020 compound 16,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc(-c3ccccc3)cs2)cc1N1CCOCC1,-7.353,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,11.2,5,MET170O-S 3.0A; GLU153OE1-O 3.2A; GLU153OE2-O 3.3A; HIS155O-O 3.3A; ASN154O-O 3.3A,18,149; 155; 157; 164; 167; 170; 174; 7,103.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c16_8Z8A_seed20260803.pdbqt']"
c17_8Z8A,c17,Davidsson 2020 compound 17,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2cc3ccccc3s2)cc1N1CCOCC1,-8.15,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,11.05,3,HIS155O-O 3.2A; ILE169O-S 3.3A; GLU166O-O 3.4A,22,149; 155; 157; 167; 170; 174; 257; 9,260.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c17_8Z8A_seed20260803.pdbqt']"
c18_8Z8A,c18,Davidsson 2020 compound 18,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2ncc(C)s2)cc1N1CCOCC1,-7.473,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,11.56,4,ILE169O-N 3.1A; ASN174ND2-O 3.1A; HIS155O-O 3.2A; GLU153OE1-O 3.2A,12,153; 155; 157; 167; 169; 174; 9,769.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed20260803.pdbqt']"
c19_8Z8A,c19,Davidsson 2020 compound 19,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CCCC3)cc1N1CCOCC1,-7.554,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,12.15,5,MET170O-O 3.2A; CYS6N-O 3.2A; SER164OG-N 3.2A; ASN174ND2-O 3.4A; ILE169O-S 3.5A,17,157; 164; 167; 170; 174; 257; 6; 9,120.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed20260803.pdbqt']"
c20_8Z8A,c20,Davidsson 2020 compound 20,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CN(C(C)=O)CC3)cc1N1CCOCC1,-6.722,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,13.36,4,GLU166OE1-O 2.9A; SER164OG-O 3.0A; ASN154O-O 3.1A; GLU153OE1-O 3.1A,11,153; 157; 166; 170; 171; 174; 7; 9,719.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed20260803.pdbqt']"
c21_8Z8A,c21,Davidsson 2020 compound 21,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3c(s2)CN(C(=O)CO)CC3)cc1N1CCOCC1,-6.781,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,11.29,5,ASN154O-O 2.7A; ILE9N-O 2.8A; ARG79NH2-O 3.1A; GLU153OE2-O 3.4A; HIS155O-O 3.4A,19,149; 153; 155; 164; 166; 170; 174; 7; 9,895.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed20260803.pdbqt']"
c22_8Z8A,c22,Davidsson 2020 compound 22,acyl_urea,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-0.882,"phase6: 24A box, 2 seeds x ex16 x 5 poses",MIXED,10.01,6,GLU153OE1-O 2.4A; SER167O-S 2.7A; SER167OG-O 2.8A; GLU153OE2-O 3.1A; ASN174ND2-S 3.4A; GLU184OE1-N 3.5A,44,149; 150; 157; 167; 168; 174; 177; 180; 181; 184; 6; 96; 99,166.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed20260803.pdbqt']"
c23_8Z8A,c23,Davidsson 2020 compound 23,linker_variant,8Z8A,paper series,CCOc1cc(Cl)c(C(=O)N(C)C(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-6.963,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,12.79,1,GLU153OE1-O 3.1A,21,153; 155; 157; 164; 166; 169; 170; 171; 174; 7; 9,16000.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed20260803.pdbqt']"
c24_8Z8A,c24,Davidsson 2020 compound 24,linker_variant,8Z8A,paper series,CCOc1cc(Cl)c(CNC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-6.715,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,12.81,2,ASN154O-N 3.1A; GLU166O-S 3.4A,20,153; 157; 164; 169; 170; 174; 6; 7; 79; 9,33000.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed20260803.pdbqt']"
c25_8Z8A,c25,Davidsson 2020 compound 25,linker_variant,8Z8A,paper series,CCOc1cc(Cl)c(NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,-4.638,"phase6: 24A box, 2 seeds x ex16 x 5 poses",MIXED,9.51,8,ASN174ND2-O 2.9A; ARG99NH2-O 2.9A; GLU153OE1-N 3.1A; GLU184OE2-O 3.1A; SER167O-O 3.1A; ASN174O-N 3.3A; GLU184OE1-O 3.3A; GLU153OE2-N 3.4A,48,150; 155; 167; 168; 174; 177; 180; 181; 92; 95; 96,33000.0,,,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c25_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c25_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c25_8Z8A_seed20260803.pdbqt']"
c26_8Z8A,c26,Davidsson 2020 compound 26,constrained_analogue_cyclic,8Z8A,paper series,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3ccccc3s2)c(=O)[nH]c1,-7.183,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,12.47,3,ASN154O-N 2.9A; HIS155O-O 3.3A; MET170O-N 3.5A,21,155; 167; 170; 171; 174; 6; 7,21.0,,29,62,3.9,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed20260803.pdbqt']"
c27_8Z8A,c27,Davidsson 2020 compound 27,constrained_analogue_cyclic,8Z8A,paper series,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cnc(-c2nc3ccccc3s2)[nH]c1=O,-6.577,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,12.38,3,ILE169O-S 3.2A; MET170O-O 3.2A; SER167O-O 3.5A,18,155; 157; 166; 167; 169; 170; 174; 257; 9,490.0,,45,11,2.4,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed20260803.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed20260803.pdbqt']"
c28_8Z8A,c28,Davidsson 2020 compound 28,constrained_analogue_cyclic,8Z8A,paper series,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3c(s2)CN(C(=O)CO)CC3)c(=O)[nH]c1,-7.443,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,12.87,8,CYS7O-O 2.9A; GLU166OE1-O 2.9A; ILE9N-O 3.0A; ASN154O-N 3.0A; HIS155O-O 3.1A; LEU156O-O 3.4A; MET170O-N 3.5A; ARG8N-O 3.5A,13,157; 167; 170; 174; 6; 7,22.0,,41,82,5.3,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c28_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c28_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c28_8Z8A_seed20260803.pdbqt']"
c29_8Z8A,c29,Davidsson 2020 compound 29,constrained_analogue_cyclic,8Z8A,paper series,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3c(s2)CN(C(=O)COC)CC3)c(=O)[nH]c1,-7.749,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,12.05,5,GLU166OE1-O 2.8A; ASN154O-N 3.0A; SER164OG-O 3.0A; HIS155O-O 3.1A; MET170O-N 3.4A,27,153; 157; 167; 170; 171; 174; 6; 7; 9,75.0,,25,667,4.5,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c29_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c29_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c29_8Z8A_seed20260803.pdbqt']"
c30_8Z8A,c30,Davidsson 2020 compound 30,constrained_analogue_cyclic,8Z8A,paper series,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)c(=O)[nH]c1,-5.811,"phase6: 24A box, 2 seeds x ex16 x 5 poses",TM56_EXTRACELLULAR,12.15,6,CYS7O-O 2.6A; GLU166OE1-O 2.7A; SER164OG-O 3.0A; ASN154O-N 3.0A; ILE169O-N 3.2A; CYS7N-O 3.4A,40,153; 157; 164; 166; 169; 170; 173; 174; 257; 7; 9,5.0,,7.4,,,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c30_8Z8A_seed1.pdbqt,"['/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c30_8Z8A_seed1.pdbqt', '/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c30_8Z8A_seed20260803.pdbqt']"
